date,mosquito_Indicator,rain(mm),mean_T(℃),min_T(℃),max_T(℃)
01/05/2016,254.4,0,18.8,12.2,26
02/05/2016,273.5,16.5,21.1,16.5,28.4
03/05/2016,304,27,12.9,8.9,17.6
04/05/2016,256.2,0,15.7,10.2,20.6
05/05/2016,243.8,7.5,18.9,10.2,26.9
06/05/2016,248.5,9.5,16.3,13,18.6
07/05/2016,243.2,0,16.5,10.7,22.6
08/05/2016,249,0,19.4,11.6,26.8
09/05/2016,249.6,0,20.2,16.3,25.4
10/05/2016,240.8,13.5,14.5,12.5,18.1
11/05/2016,252.1,0,16.4,10.4,23.5
12/05/2016,261.1,0,17.8,12.1,24
13/05/2016,258.2,0.5,18.6,12.7,25.4
14/05/2016,277.8,0,20.2,15.1,26.9
15/05/2016,306.4,45,17.4,12.3,24.2
16/05/2016,299.9,2.5,15.9,10.8,21.9
17/05/2016,256.9,0,19.3,10.9,26.6
18/05/2016,275.2,0,,13.5,29.5
19/05/2016,309.7,0,,16.3,31.9
20/05/2016,353.6,0,24,16.8,31.6
21/05/2016,407,0,24.1,,30.4
22/05/2016,438.4,0,24.7,17.6,31.7
23/05/2016,522.5,0,,18.3,29.4
24/05/2016,614.4,38.5,16.8,15.4,21.8
25/05/2016,609.6,0,19.7,15.3,24.4
26/05/2016,582.1,0,19.4,17.5,22.9
27/05/2016,527.9,0,20.9,14.8,27.1
28/05/2016,487.3,0,21.7,17.2,28
29/05/2016,465.9,0,21.5,17.2,27.6
30/05/2016,434.5,0,22.1,,28.9
31/05/2016,427.2,0,21.6,17.4,27.6
01/06/2016,460.2,0,23.3,17.1,29.9
02/06/2016,496.2,0,23.2,17.2,29.1
03/06/2016,539.9,0,,17.6,27.7
04/06/2016,558.4,0,21.2,18.2,26.3
05/06/2016,554.7,0,24.7,17.3,32.2
06/06/2016,581.5,0,23.3,20.8,28.4
07/06/2016,606.2,0.1,21.7,19.6,25.9
08/06/2016,616.5,0,22.1,18.2,27.7
09/06/2016,604.9,0,24.1,17.8,31.3
10/06/2016,604.9,0,24.6,20.2,31.3
11/06/2016,644.2,3,23.5,20.9,26.5
12/06/2016,658.9,1.5,23.5,19.9,26.7
13/06/2016,645.7,0,23.5,19.4,29.6
14/06/2016,639.9,0,23.8,19.7,29.5
15/06/2016,666.3,15.5,20.9,17.4,24.5
16/06/2016,643.5,0,20.9,18.6,24.9
17/06/2016,606.2,0,23.8,18.6,29.1
18/06/2016,575.6,0,24.5,20.1,29.9
19/06/2016,601.5,0,24.1,20.3,29.3
20/06/2016,615.2,0,24.7,19.6,30.7
21/06/2016,624.2,0,26,21,31.3
